car,person,frame,total,motorcycle,truck,kite,horse,bench,bus
3,6,390,402,3,0,0,0,0,0
4,6,391,403,2,0,0,0,0,0
4,6,392,405,3,0,0,0,0,0
4,5,393,403,1,0,0,0,0,0
5,6,394,406,1,0,0,0,0,0
6,4,395,406,1,0,0,0,0,0
6,6,396,411,3,0,0,0,0,0
7,6,397,412,2,0,0,0,0,0
5,5,398,410,2,0,0,0,0,0
6,6,399,414,3,0,0,0,0,0
5,5,400,413,3,0,0,0,0,0
5,5,401,414,3,0,0,0,0,0
5,6,402,416,3,0,0,0,0,0
5,7,403,417,2,0,0,0,0,0
4,6,404,417,3,0,0,0,0,0
4,7,405,418,2,0,0,0,0,0
3,7,406,419,3,0,0,0,0,0
3,7,407,420,3,0,0,0,0,0
3,6,408,420,3,0,0,0,0,0
3,5,409,417,0,0,0,0,0,0
3,9,410,424,2,0,0,0,0,0
3,7,411,423,2,0,0,0,0,0
4,7,412,427,4,0,0,0,0,0
4,5,413,425,3,0,0,0,0,0
4,5,414,427,4,0,0,0,0,0
4,4,415,424,1,0,0,0,0,0
3,4,416,425,1,0,0,1,0,0
4,4,417,426,1,0,0,0,0,0
3,4,418,426,1,0,0,0,0,0
3,4,419,427,1,0,0,0,0,0
4,5,420,429,0,0,0,0,0,0
3,5,421,429,0,0,0,0,0,0
6,5,422,435,2,0,0,0,0,0
7,5,423,438,3,0,0,0,0,0
4,7,424,437,2,0,0,0,0,0
6,4,425,436,1,0,0,0,0,0
5,4,426,437,2,0,0,0,0,0
4,4,427,437,2,0,0,0,0,0
4,4,428,437,1,0,0,0,0,0
3,6,429,440,2,0,0,0,0,0
3,6,430,442,2,0,0,1,0,0
2,5,431,440,2,0,0,0,0,0
2,5,432,442,2,0,0,1,0,0
2,4,433,443,4,0,0,0,0,0
2,3,434,444,5,0,0,0,0,0
2,3,435,442,2,0,0,0,0,0
2,3,436,443,2,0,0,0,0,0
1,3,437,445,4,0,0,0,0,0
1,3,438,445,2,0,0,1,0,0
2,3,439,448,3,0,0,1,0,0
2,3,440,448,3,0,0,0,0,0
1,3,441,449,3,0,0,1,0,0
2,3,442,451,4,0,0,0,0,0
2,3,443,452,4,0,0,0,0,0
2,3,444,453,4,0,0,0,0,0
2,3,445,453,3,0,0,0,0,0
2,3,446,454,3,0,0,0,0,0
2,3,447,455,3,0,0,0,0,0
2,3,448,456,3,0,0,0,0,0
2,3,449,458,4,0,0,0,0,0
2,3,450,459,4,0,0,0,0,0
2,3,451,459,3,0,0,0,0,0
3,3,452,461,3,0,0,0,0,0
4,3,453,463,3,0,0,0,0,0
3,3,454,463,3,0,0,0,0,0
3,3,455,464,3,0,0,0,0,0
3,4,456,465,2,0,0,0,0,0
3,3,457,466,3,0,0,0,0,0
2,3,458,466,3,0,0,0,0,0
4,3,459,467,1,0,0,0,0,0
3,3,460,468,2,0,0,0,0,0
3,3,461,470,3,0,0,0,0,0
4,2,462,470,2,0,0,0,0,0
4,2,463,471,2,0,0,0,0,0
4,2,464,471,1,0,0,0,0,0
4,2,465,473,2,0,0,0,0,0
4,2,466,475,3,0,0,0,0,0
5,2,467,476,2,0,0,0,0,0
5,2,468,477,2,0,0,0,0,0
5,2,469,478,2,0,0,0,0,0
5,3,470,481,2,1,0,0,0,0
5,3,471,482,2,1,0,0,0,0
5,4,472,483,2,0,0,0,0,0
5,4,473,484,1,1,0,0,0,0
5,3,474,484,1,1,0,0,0,0
5,3,475,484,1,0,0,0,0,0
5,3,476,486,1,1,0,0,0,0
6,3,477,488,1,1,0,0,0,0
7,3,478,490,2,0,0,0,0,0
5,3,479,490,3,0,0,0,0,0
4,4,480,491,3,0,0,0,0,0
4,2,481,489,2,0,0,0,0,0
4,3,482,490,1,0,0,0,0,0
4,2,483,490,1,0,0,0,0,0
4,2,484,491,1,0,0,0,0,0
4,2,485,493,2,0,0,0,0,0
5,3,486,496,2,0,0,0,0,0
5,3,487,498,3,0,0,0,0,0
6,3,488,499,2,0,0,0,0,0
5,3,489,501,3,0,0,0,1,0
5,3,490,501,3,0,0,0,0,0
5,4,491,502,2,0,0,0,0,0
3,4,492,501,2,0,0,0,0,0
3,4,493,502,2,0,0,0,0,0
3,6,494,505,2,0,0,0,0,0
3,4,495,504,2,0,0,0,0,0
3,6,496,507,2,0,0,0,0,0
2,4,497,505,2,0,0,0,0,0
3,4,498,507,2,0,0,0,0,0
4,3,499,507,1,0,0,0,0,0
4,4,500,510,2,0,0,0,0,0
3,3,501,508,1,0,0,0,0,0
2,4,502,510,2,0,0,0,0,0
3,2,503,510,2,0,0,0,0,0
2,2,504,510,2,0,0,0,0,0
2,2,505,511,2,0,0,0,0,0
1,2,506,512,3,0,0,0,0,0
1,2,507,512,2,0,0,0,0,0
2,2,508,514,2,0,0,0,0,0
2,2,509,515,2,0,0,0,0,0
4,2,510,518,2,0,0,0,0,0
4,2,511,519,2,0,0,0,0,0
4,2,512,520,2,0,0,0,0,0
4,2,513,521,2,0,0,0,0,0
4,3,514,523,2,0,0,0,0,0
5,4,515,526,2,0,0,0,0,0
4,3,516,524,1,0,0,0,0,0
4,2,517,525,2,0,0,0,0,0
4,2,518,527,3,0,0,0,0,0
3,2,519,525,1,0,0,0,0,0
3,3,520,527,1,0,0,0,0,0
5,1,521,528,1,0,0,0,0,0
6,3,522,531,0,0,0,0,0,0
6,1,523,531,1,0,0,0,0,0
5,1,524,531,1,0,0,0,0,0
5,2,525,533,1,0,0,0,0,0
4,1,526,532,1,0,0,0,0,0
4,4,527,536,1,0,0,0,0,0
4,2,528,535,1,0,0,0,0,0
5,1,529,538,3,0,0,0,0,0
4,1,530,536,1,0,0,0,0,0
4,1,531,538,2,0,0,0,0,0
3,1,532,537,1,0,0,0,0,0
3,1,533,539,2,0,0,0,0,0
3,1,534,539,1,0,0,0,0,0
3,1,535,541,2,0,0,0,0,0
3,1,536,541,1,0,0,0,0,0
3,1,537,542,1,0,0,0,0,0
3,1,538,543,1,0,0,0,0,0
3,1,539,545,2,0,0,0,0,0
3,1,540,546,2,0,0,0,0,0
2,1,541,546,2,0,0,0,0,0
3,1,542,548,2,0,0,0,0,0
4,1,543,549,1,0,0,0,0,0
5,1,544,551,1,0,0,0,0,0
4,1,545,552,2,0,0,0,0,0
5,2,546,555,2,0,0,0,0,0
5,2,547,556,2,0,0,0,0,0
5,2,548,556,1,0,0,0,0,0
5,2,549,558,2,0,0,0,0,0
5,3,550,560,2,0,0,0,0,0
5,2,551,559,1,0,0,0,0,0
5,1,552,559,1,0,0,0,0,0
5,1,553,560,1,0,0,0,0,0
4,1,554,561,2,0,0,0,0,0
2,2,555,560,1,0,0,0,0,0
1,1,556,559,1,0,0,0,0,0
5,2,557,565,1,0,0,0,0,0
2,2,558,563,1,0,0,0,0,0
3,3,559,566,1,0,0,0,0,0
3,2,560,566,1,0,0,0,0,0
4,2,561,568,1,0,0,0,0,0
3,2,562,569,2,0,0,0,0,0
2,2,563,568,1,0,0,0,0,0
2,2,564,569,1,0,0,0,0,0
3,5,565,574,1,0,0,0,0,0
4,3,566,574,1,0,0,0,0,0
4,2,567,574,1,0,0,0,0,0
3,2,568,574,1,0,0,0,0,0
3,3,569,576,1,0,0,0,0,0
3,3,570,577,1,0,0,0,0,0
4,2,571,578,1,0,0,0,0,0
3,3,572,579,1,0,0,0,0,0
3,3,573,580,1,0,0,0,0,0
2,3,574,581,2,0,0,0,0,0
2,3,575,582,2,0,0,0,0,0
3,3,576,583,1,0,0,0,0,0
6,3,577,587,1,0,0,0,0,0
2,3,578,584,1,0,0,0,0,0
3,5,579,589,2,0,0,0,0,0
4,6,580,591,1,0,0,0,0,0
4,5,581,591,1,0,0,0,0,0
4,6,582,593,1,0,0,0,0,0
3,6,583,593,1,0,0,0,0,0
3,5,584,593,1,0,0,0,0,0
3,3,585,593,2,0,0,0,0,0
4,3,586,595,2,0,0,0,0,0
4,3,587,595,1,0,0,0,0,0
4,4,588,597,1,0,0,0,0,0
4,3,589,597,1,0,0,0,0,0
5,4,590,600,1,0,0,0,0,0
4,4,591,600,1,0,0,0,0,0
4,4,592,602,2,0,0,0,0,0
4,5,593,604,2,0,0,0,0,0
3,4,594,603,2,0,0,0,0,0
3,4,595,604,2,0,0,0,0,0
2,3,596,602,1,0,0,0,0,0
3,5,597,608,3,0,0,0,0,0
2,4,598,607,3,0,0,0,0,0
2,4,599,609,4,0,0,0,0,0
2,4,600,609,3,0,0,0,0,0
3,3,601,610,3,0,0,0,0,0
3,4,602,613,4,0,0,0,0,0
4,3,603,613,3,0,0,0,0,0
3,3,604,612,2,0,0,0,0,0
4,3,605,614,2,0,0,0,0,0
4,2,606,615,3,0,0,0,0,0
4,5,607,618,2,0,0,0,0,0
4,3,608,617,2,0,0,0,0,0
5,3,609,618,1,0,0,0,0,0
6,3,610,620,1,0,0,0,0,0
6,3,611,621,1,0,0,0,0,0
6,4,612,624,1,0,0,1,0,0
